7364575,IUF8405,SUMITOMO STUDY,4,1.1
7364575,GZK1642,EXCHANGE STUDY,4,1.1
7364575,ZML7903,EFFICIENCY STUDY,5,1.1
7364575,TRE2001,SHARPLY STUDY,4,1.1
7364575,GOK5831,LOCATED STUDY,4,1.1
5908488,ZVJ3196,NAINGGOLAN STUDY,3,1.1
5908488,OOL3307,COUNCIL STUDY,5,1.1
5908488,GWS7674,ACCORDING STUDY,4,1.1
5908488,EEU9266,KOMATSU STUDY,4,1.1
5908488,FRF2243,EXPORT STUDY,3,1.1
3190381,ZMV3555,CONTACTS STUDY,3,1.1
3190381,KXX7712,UNIVERSAL STUDY,4,1.1
3190381,NQF9640,COMMERCIAL STUDY,5,1.1
3190381,BKW9839,DECISION STUDY,3,1.1
3190381,GUO2373,NATURAL STUDY,3,1.1
8980651,KPP9788,CHINA STUDY,5,1.1
8980651,KKV6197,LANKA STUDY,3,1.1
8980651,UQU2387,BECAUSE STUDY,4,1.1
8980651,TOF2351,BUSINESS STUDY,3,1.1
8980651,IMH4799,DEVOTE STUDY,4,1.1
2561963,NNY5517,PINEAPPLES STUDY,5,1.1
2561963,FSB8979,PRICES STUDY,5,1.1
2561963,OJW9110,JAPAN STUDY,3,1.1
2561963,GJJ8934,AUGUST STUDY,3,2.2
2561963,IHS9625,BANCA STUDY,5,2.2
2561963,ENF5120,ENERGY STUDY,5,2.2
2561963,WTE8244,SEPARATE STUDY,5,2.2
2561963,EAR8370,SUBSIDIARY STUDY,3,2.2
6745041,LXC6372,ARGUE STUDY,5,2.2
6745041,OFH4968,TODAY STUDY,5,2.2
6745041,ASO9137,PROTEST STUDY,5,2.2
6745041,EBM3441,PLACE STUDY,5,2.2
6745041,OCM9407,SALEH STUDY,3,2.2
6745041,LYP8282,RELATED STUDY,4,2.2
6745041,YTY5936,OPTIMISTIC STUDY,5,2.2
6176229,QPD6019,TRANSACTIONS STUDY,3,2.2
6176229,TNB2122,PAPER STUDY,5,2.2
6176229,CSV8936,TONNES STUDY,4,2.2
6176229,NVQ1825,DEMAND STUDY,4,2.2
6176229,EKC3153,EXPECTED STUDY,4,2.2
6176229,DNJ3833,TRADE STUDY,3,3.3
6176229,VWP5190,TREATMENT STUDY,3,3.3
3543664,CVN8950,WOULD STUDY,3,3.3
3543664,EDR3478,DEFICIT STUDY,4,3.3
3543664,DSM4291,CERTAIN STUDY,5,3.3
3543664,RWT2729,MEDIUM STUDY,4,3.3
3543664,KNO2710,DEMAND STUDY,4,3.3
3543664,UZU6119,TIMBER STUDY,4,3.3
3006028,JQT8020,CLIMATE STUDY,5,3.3
3006028,IYP4712,RUBBER STUDY,4,3.3
3006028,SXZ8820,COVER STUDY,5,3.3
3006028,WIO8976,WASTE STUDY,4,3.3
3006028,FVU6350,EXCHANGE STUDY,5,3.3
3006028,DEQ7672,BENSON STUDY,5,3.3
3006028,MJH4002,BEING STUDY,5,3.3
3006028,EXU3655,LOANS STUDY,3,3.3
5697247,RIX5469,OUTCRY STUDY,3,3.3
5697247,HJQ4824,EITHER STUDY,5,3.3
5697247,QTQ1031,INDONESIA STUDY,3,3.3
5697247,CDS6120,OVERSEAS STUDY,4,4.4
5697247,XGD6678,MINING STUDY,5,4.4
5697247,RRP6198,IMPROVED STUDY,4,4.4
5697247,DMF3202,YEARS STUDY,3,4.4
5697247,SHU6885,AFTER STUDY,3,4.4
9925484,ZUO2250,DOWNTREND STUDY,3,4.4
9925484,UGD4351,DEPARTMENT STUDY,5,4.4
9925484,UKO2738,PROVINCES STUDY,5,4.4
9925484,OHL7067,GOLDMAN STUDY,4,4.4
9925484,BYD3903,DISRUPTION STUDY,5,4.4
9925484,HTC9081,GEARED STUDY,3,4.4
9925484,RDV6689,CONTAINER STUDY,4,4.4
1988567,CFZ3269,LATEST STUDY,3,4.4
1988567,HCF3776,AUSTRALIAN STUDY,5,4.4
1988567,CSP2621,EXPORTS STUDY,4,5.5
8799495,TUS5522,PAIAN STUDY,5,5.5
8799495,QVR6004,PARENT STUDY,3,5.5
8799495,ESB8969,ROUTES STUDY,3,5.5
8799495,OCW9629,SECURITIES STUDY,4,5.5
8799495,ALN1959,FOLLOWING STUDY,5,5.5
8799495,VSV2072,CONTINENTAL STUDY,3,5.5
3006028,AYN6169,INTERNATIONAL STUDY,5,5.5
3006028,XNU3702,METROPOLITAN STUDY,5,5.5
3006028,ARQ7629,UNRECOVERABLE STUDY,5,5.5
3006028,WNG5667,SWISS STUDY,3,5.5
3006028,OFH3598,CLAIM STUDY,4,5.5
3006028,DVS8501,VERMIN STUDY,3,5.5
3006028,VIZ5101,STOCKS STUDY,3,5.5
9249588,QCV8760,PORTS STUDY,5,5.5
9249588,JYX1756,APPEAR STUDY,5,5.5
9249588,HPO1254,INDONESIAN STUDY,5,5.5
9249588,UOO6011,ARBITRATION STUDY,5,8.9
3645459,LYF9884,ENCOURAGE STUDY,4,8.9
3645459,IIA9349,NEEDED STUDY,5,8.9
3645459,UFR4900,DELIVERY STUDY,3,8.9
3645459,THE2590,IMPORT STUDY,5,8.9
3645459,CIQ4379,PRIMARY STUDY,4,8.9
9622373,ASS6856,BUSINESSES STUDY,5,8.9
9622373,EGJ6253,DESPITE STUDY,4,8.9
9622373,ZMA2921,TEAMS STUDY,3,8.9
9622373,PKT5266,JAPANESE STUDY,4,8.9
